A,Call overhead,OpenFaaS overhead,Time inside function
1,0.051458,0.05017533799394965,9.662006050348282e-06
2,0.04136800000000001,0.051465152916431424,6.847083568572998e-06
3,0.045338,0.037346523086696864,1.0476913303136826e-05
4,0.037718,0.04124859808862209,6.401911377906799e-06
5,0.038132,0.0293583720176816,5.627982318401337e-06
6,0.036337,0.05318529187063873,1.2708129361271858e-05
7,0.064635,0.03971492984944582,9.070150554180145e-06
8,0.049559,0.04006038294549286,7.617054507136345e-06
9,0.03402,0.0376346860909909,7.313909009099007e-06
10,0.034427,0.031908369922205804,5.6300777941942215e-06
11,0.032742,0.0358419389526844,6.061047315597534e-06
12,0.041664,0.0338286050735414,6.394926458597183e-06
13,0.050043,0.03416133405867219,6.6659413278102875e-06
14,0.04720099999999999,0.031201836033925415,7.163966074585915e-06
15,0.024363,0.027403157114997505,5.842885002493858e-06
16,0.034716,0.03176877783387899,6.222166121006012e-06
17,0.040393,0.035463657926097514,6.342073902487755e-06
18,0.043301000000000006,0.03489199692751467,6.003072485327721e-06
19,0.039034000000000006,0.05641986280183494,8.13719816505909e-06
20,0.038137,0.043269805998772386,7.194001227617264e-06
21,0.037731,0.03506236899088323,5.631009116768837e-06
22,0.03374100000000001,0.045201437893524765,7.562106475234032e-06
23,0.039508999999999996,0.04866471286651492,7.287133485078812e-06
24,0.045557,0.04463305489473045,6.945105269551277e-06
25,0.04362999999999999,0.07608622012072802,1.77798792719841e-05
26,0.041006999999999995,0.0399392311475277,6.768852472305298e-06
27,0.037961999999999996,0.04423222998337448,6.770016625523567e-06
28,0.037321999999999994,0.03435387817627192,7.121823728084564e-06
29,0.032942000000000006,0.0462765778247416,7.422175258398056e-06
30,0.048814,0.04190647514642775,7.5248535722494125e-06
31,0.038844000000000004,0.052435189005181196,6.810994818806648e-06
32,0.035134,0.03697219786036014,5.802139639854431e-06
33,0.05539499999999999,0.03126723185363412,5.768146365880966e-06
34,0.04430300000000001,0.02664695082704723,6.049172952771187e-06
35,0.038293,0.03731378202483058,6.217975169420242e-06
36,0.045102,0.032513720992743966,1.0279007256031036e-05
37,0.031112000000000004,0.02662561695551872,5.383044481277466e-06
38,0.030146999999999993,0.03758589983713627,6.100162863731384e-06
39,0.050957999999999996,0.05894933211226761,1.766788773238659e-05
40,0.041132999999999996,0.04321377503991127,6.224960088729858e-06
41,0.036817,0.033646160840287806,5.839159712195396e-06
42,0.043454,0.03517612497675419,6.875023245811462e-06
43,0.039945999999999995,0.06732355011789501,7.4498821049928665e-06
44,0.05413900000000001,0.043495419049471615,5.580950528383255e-06
45,0.042836000000000006,0.04909198807233572,7.011927664279938e-06
46,0.037589,0.030893514036759735,6.485963240265846e-06
47,0.041356,0.054893202013239266,1.0797986760735512e-05
48,0.03634099999999999,0.03638786514537037,6.134854629635811e-06
49,0.046632999999999994,0.0446366642049104,7.33579508960247e-06
50,0.03583900000000001,0.03563142694404721,6.95730559527874e-05
