A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Call overhead,0.051458,0.04136800000000001,0.045338,0.037718,0.038132,0.036337,0.064635,0.049559,0.03402,0.034427,0.032742,0.041664,0.050043,0.04720099999999999,0.024363,0.034716,0.040393,0.043301000000000006,0.039034000000000006,0.038137,0.037731,0.03374100000000001,0.039508999999999996,0.045557,0.04362999999999999,0.041006999999999995,0.037961999999999996,0.037321999999999994,0.032942000000000006,0.048814,0.038844000000000004,0.035134,0.05539499999999999,0.04430300000000001,0.038293,0.045102,0.031112000000000004,0.030146999999999993,0.050957999999999996,0.041132999999999996,0.036817,0.043454,0.039945999999999995,0.05413900000000001,0.042836000000000006,0.037589,0.041356,0.03634099999999999,0.046632999999999994,0.03583900000000001,0.04178,0.035859999999999996,0.03893,0.041341,0.03780599999999999,0.03273,0.033946,0.030304000000000005,0.037291000000000005,0.052926,0.04399800000000001,0.039330000000000004,0.036788999999999995,0.038079,0.038271000000000006,0.048401,0.049488000000000004,0.030910999999999994,0.040504,0.047372000000000004,0.049824,0.038459999999999994,0.041145,0.04437,0.036173000000000004,0.03507,0.039956,0.034938000000000004,0.040253,0.038028000000000006,0.059849,0.043871,0.048815,0.049825,0.041259000000000004,0.041990999999999994,0.035574,0.046808999999999996,0.052823999999999996,0.032316,0.03575099999999999,0.041779,0.05560300000000001,0.047685,0.045767999999999996,0.045672000000000004,0.042327,0.051954,0.052285,0.050836000000000006
OpenFaaS overhead,0.051458,0.04136800000000001,0.045338,0.037718,0.038132,0.036337,0.064635,0.049559,0.03402,0.034427,0.032742,0.041664,0.050043,0.04720099999999999,0.024363,0.034716,0.040393,0.043301000000000006,0.039034000000000006,0.038137,0.037731,0.03374100000000001,0.039508999999999996,0.045557,0.04362999999999999,0.041006999999999995,0.037961999999999996,0.037321999999999994,0.032942000000000006,0.048814,0.038844000000000004,0.035134,0.05539499999999999,0.04430300000000001,0.038293,0.045102,0.031112000000000004,0.030146999999999993,0.050957999999999996,0.041132999999999996,0.036817,0.043454,0.039945999999999995,0.05413900000000001,0.042836000000000006,0.037589,0.041356,0.03634099999999999,0.046632999999999994,0.03583900000000001,0.04178,0.035859999999999996,0.03893,0.041341,0.03780599999999999,0.03273,0.033946,0.030304000000000005,0.037291000000000005,0.052926,0.04399800000000001,0.039330000000000004,0.036788999999999995,0.038079,0.038271000000000006,0.048401,0.049488000000000004,0.030910999999999994,0.040504,0.047372000000000004,0.049824,0.038459999999999994,0.041145,0.04437,0.036173000000000004,0.03507,0.039956,0.034938000000000004,0.040253,0.038028000000000006,0.059849,0.043871,0.048815,0.049825,0.041259000000000004,0.041990999999999994,0.035574,0.046808999999999996,0.052823999999999996,0.032316,0.03575099999999999,0.041779,0.05560300000000001,0.047685,0.045767999999999996,0.045672000000000004,0.042327,0.051954,0.052285,0.050836000000000006
Time inside function,9.662006050348282e-06,6.847083568572998e-06,1.0476913303136826e-05,6.401911377906799e-06,5.627982318401337e-06,1.2708129361271858e-05,9.070150554180145e-06,7.617054507136345e-06,7.313909009099007e-06,5.6300777941942215e-06,6.061047315597534e-06,6.394926458597183e-06,6.6659413278102875e-06,7.163966074585915e-06,5.842885002493858e-06,6.222166121006012e-06,6.342073902487755e-06,6.003072485327721e-06,8.13719816505909e-06,7.194001227617264e-06,5.631009116768837e-06,7.562106475234032e-06,7.287133485078812e-06,6.945105269551277e-06,1.77798792719841e-05,6.768852472305298e-06,6.770016625523567e-06,7.121823728084564e-06,7.422175258398056e-06,7.5248535722494125e-06,6.810994818806648e-06,5.802139639854431e-06,5.768146365880966e-06,6.049172952771187e-06,6.217975169420242e-06,1.0279007256031036e-05,5.383044481277466e-06,6.100162863731384e-06,1.766788773238659e-05,6.224960088729858e-06,5.839159712195396e-06,6.875023245811462e-06,7.4498821049928665e-06,5.580950528383255e-06,7.011927664279938e-06,6.485963240265846e-06,1.0797986760735512e-05,6.134854629635811e-06,7.33579508960247e-06,6.95730559527874e-05,6.899004802107811e-06,6.612855941057205e-06,7.2410330176353455e-06,7.1320682764053345e-06,6.716931238770485e-06,5.593989044427872e-06,6.376998499035835e-06,5.9639569371938705e-06,6.210058927536011e-06,6.2889885157346725e-06,5.634035915136337e-06,6.512971594929695e-06,6.606103852391243e-06,6.024027243256569e-06,1.0175863280892372e-05,5.869893357157707e-06,7.000984624028206e-06,5.836132913827896e-06,6.040092557668686e-06,7.255934178829193e-06,6.055925041437149e-06,6.399117410182953e-06,6.312970072031021e-06,6.022164598107338e-06,5.92903234064579e-06,6.30808062851429e-06,5.613081157207489e-06,5.771871656179428e-06,6.359070539474487e-06,0.00016682199202477932,5.910871550440788e-06,6.103888154029846e-06,6.2121544033288956e-06,5.658017471432686e-06,6.769085302948952e-06,6.527872756123543e-06,6.086193025112152e-06,7.320893928408623e-06,6.359070539474487e-06,5.867099389433861e-06,6.0640741139650345e-06,6.863148882985115e-06,9.231967851519585e-06,6.847083568572998e-06,9.999843314290047e-06,1.0038958862423897e-05,6.5211206674575806e-06,7.261056452989578e-06,6.653834134340286e-06,1.0699965059757233e-05
