A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Call overhead,0.08858599999999939,0.06903199999999998,0.044941999999999815,0.05565899999999946,0.04638100000000023,0.04398900000000072,0.04267999999999983,0.05710800000000038,0.05496200000000062,0.03831600000000002,0.04565000000000019,0.06445800000000013,0.03946400000000061,0.046196000000000126,0.03363700000000058,0.051560999999999524,0.06292100000000023,0.03900099999999984,0.05023800000000023,0.03528800000000043,0.055783000000000804,0.037976000000000454,0.05908599999999975,0.03638400000000086,0.045106999999999786,0.05398600000000009,0.054701999999999806,0.0624709999999995,0.04398500000000016,0.05054800000000004,0.047649000000000274,0.04686699999999977,0.05905799999999983,0.04794199999999993,0.05248799999999987,0.045836999999999684,0.06294199999999961,0.04107100000000008,0.055223000000000244,0.03991200000000017,0.04436900000000055,0.0377559999999999,0.040132999999999974,0.04553100000000043,0.05541899999999966,0.04799099999999967,0.0446080000000002,0.04835400000000023,0.044864000000000015,0.04768699999999981,0.04742100000000038,0.036577000000000304,0.04728600000000016,0.05932100000000018,0.052257,0.05662599999999962,0.05223299999999931,0.04362599999999972,0.03882099999999955,0.03848400000000041,0.054986999999999675,0.04266900000000007,0.05459600000000009,0.05022499999999974,0.04209200000000024,0.056866000000000305,0.03960200000000036,0.04999700000000029,0.03801100000000002,0.04952700000000032,0.04878999999999989,0.04273300000000013,0.054225999999999885,0.041398000000000046,0.05355500000000024,0.043681999999999555,0.06261700000000037,0.041596999999999884,0.034569999999999546,0.046258000000000354,0.037829999999999586,0.0424199999999999,0.0778019999999997,0.03801699999999997,0.06497099999999989,0.05879100000000026,0.05689999999999973,0.05093199999999998,0.042492000000000196,0.04205699999999979,0.051632000000000566,0.05665000000000031,0.04091699999999987,0.04310399999999959,0.04067099999999968,0.04285300000000003,0.03902400000000039,0.05479699999999976,0.03750600000000048,0.04662299999999986
OpenFaaS overhead,0.08858599999999939,0.06903199999999998,0.044941999999999815,0.05565899999999946,0.04638100000000023,0.04398900000000072,0.04267999999999983,0.05710800000000038,0.05496200000000062,0.03831600000000002,0.04565000000000019,0.06445800000000013,0.03946400000000061,0.046196000000000126,0.03363700000000058,0.051560999999999524,0.06292100000000023,0.03900099999999984,0.05023800000000023,0.03528800000000043,0.055783000000000804,0.037976000000000454,0.05908599999999975,0.03638400000000086,0.045106999999999786,0.05398600000000009,0.054701999999999806,0.0624709999999995,0.04398500000000016,0.05054800000000004,0.047649000000000274,0.04686699999999977,0.05905799999999983,0.04794199999999993,0.05248799999999987,0.045836999999999684,0.06294199999999961,0.04107100000000008,0.055223000000000244,0.03991200000000017,0.04436900000000055,0.0377559999999999,0.040132999999999974,0.04553100000000043,0.05541899999999966,0.04799099999999967,0.0446080000000002,0.04835400000000023,0.044864000000000015,0.04768699999999981,0.04742100000000038,0.036577000000000304,0.04728600000000016,0.05932100000000018,0.052257,0.05662599999999962,0.05223299999999931,0.04362599999999972,0.03882099999999955,0.03848400000000041,0.054986999999999675,0.04266900000000007,0.05459600000000009,0.05022499999999974,0.04209200000000024,0.056866000000000305,0.03960200000000036,0.04999700000000029,0.03801100000000002,0.04952700000000032,0.04878999999999989,0.04273300000000013,0.054225999999999885,0.041398000000000046,0.05355500000000024,0.043681999999999555,0.06261700000000037,0.041596999999999884,0.034569999999999546,0.046258000000000354,0.037829999999999586,0.0424199999999999,0.0778019999999997,0.03801699999999997,0.06497099999999989,0.05879100000000026,0.05689999999999973,0.05093199999999998,0.042492000000000196,0.04205699999999979,0.051632000000000566,0.05665000000000031,0.04091699999999987,0.04310399999999959,0.04067099999999968,0.04285300000000003,0.03902400000000039,0.05479699999999976,0.03750600000000048,0.04662299999999986
Time inside function,4.3,4.15,4.37,4.24,4.23,4.28,4.62,4.39,4.23,4.22,4.21,3.95,4.37,4.56,4.34,4.25,4.58,4.43,4.43,4.47,4.22,4.33,4.43,4.34,4.23,4.12,4.42,4.12,4.18,4.3,3.96,3.96,3.95,3.9,3.87,4.27,3.92,3.92,3.93,3.95,3.99,4.04,4.03,3.97,4.22,3.97,4.0,3.88,3.87,4.23,3.92,4.01,3.93,3.88,4.15,4.06,4.09,3.89,3.97,4.09,3.89,3.88,3.78,3.9,4.02,4.04,3.99,4.21,4.06,3.97,3.86,3.86,4.12,3.97,3.95,3.97,3.96,3.91,3.97,3.93,4.16,4.02,3.94,3.99,3.86,3.99,4.2,3.91,3.91,4.17,4.09,4.1,3.91,3.99,4.01,4.07,4.01,3.77,4.16,3.87
